id	Wavelength nm.	Intensity
alex	500	104.675
alex	501	108.962
alex	502	108.711
alex	503	114.327
alex	504	112.924
alex	505	116.999
alex	506	115.06
alex	507	120.071
alex	508	124.91
alex	509	126.427
alex	510	128.785
alex	511	131.868
alex	512	134.393
alex	513	135.426
alex	514	137.537
alex	515	135.541
alex	516	134.749
alex	517	132.966
alex	518	135.269
alex	519	128.928
alex	520	125.757
alex	521	123.526
alex	522	119.622
alex	523	114.883
alex	524	111.437
alex	525	111.406
alex	526	110.719
alex	527	107.004
alex	528	107.546
alex	529	106.702
alex	530	105.016
alex	531	104.259
alex	532	106.321
alex	533	103.998
alex	534	104.808
alex	535	102.962
alex	536	101.167
alex	537	98.64
alex	538	100.758
alex	539	99.409
alex	540	98.598
alex	541	98.026
alex	542	95.053
alex	543	96.601
alex	544	96.167
alex	545	93.368
alex	546	92.903
alex	547	94.436
alex	548	91.508
alex	549	89.272
alex	550	91.015
alex	551	88.334
alex	552	87.31
alex	553	87.213
alex	554	86.514
alex	555	86.467
alex	556	84.993
alex	557	83.988
alex	558	84.049
alex	559	82.908
alex	560	80.685
alex	561	81.311
alex	562	80.995
alex	563	78.631
alex	564	76.576
alex	565	78.685
alex	566	75.235
alex	567	75.115
alex	568	75.001
alex	569	73.704
alex	570	74.336
alex	571	71.922
alex	572	70.382
alex	573	68.892
alex	574	69.214
alex	575	68.609
alex	576	67.759
alex	577	67.341
alex	578	65.842
alex	579	63.375
alex	580	65.378
alex	581	63.615
alex	582	62.054
alex	583	61.68
alex	584	63.471
alex	585	63.867
alex	586	63.95
alex	587	61.492
alex	588	62.635
alex	589	61.835
alex	590	60.315
alex	591	57.484
alex	592	57.368
alex	593	54.388
alex	594	57.094
alex	595	54.566
alex	596	52.927
alex	597	54.203
alex	598	52.993
alex	599	53.396
alex	600	52.503
alex	601	51.643
alex	602	52.021
alex	603	50.706
alex	604	49.223
alex	605	48.188
alex	606	50.749
alex	607	50.552
alex	608	50.473
alex	609	48.376
alex	610	49.803
alex	611	46.931
alex	612	46.878
alex	613	48.407
alex	614	47.391
alex	615	47.629
alex	616	47.243
alex	617	48.848
alex	618	45.425
alex	619	46.565
alex	620	50.043
alex	621	48.519
alex	622	47.549
alex	623	50.571
alex	624	48.742
alex	625	50.036
alex	626	49.81
alex	627	51.065
alex	628	51.939
alex	629	52.099
alex	630	50.824
alex	631	53.945
alex	632	53.326
alex	633	54.572
alex	634	56.985
alex	635	55.766
alex	636	57.67
alex	637	58.53
alex	638	64.016
alex	639	61.883
alex	640	65.264
alex	641	70.128
alex	642	72.623
alex	643	72.747
alex	644	77.102
alex	645	82.455
alex	646	88.496
alex	647	94.415
alex	648	94.872
alex	649	110.08
alex	650	121.089
alex	651	125.124
alex	652	138.896
alex	653	171.656
alex	654	183.976
alex	655	207.427
alex	656	228.859
alex	657	259.557
alex	658	292.873
alex	659	330.075
alex	660	365.596
alex	661	411.429
alex	662	451.499
alex	663	540.551
alex	664	613.386
alex	665	707.489
alex	666	829.94
alex	667	945.221
alex	668	1082.765
alex	669	1247.898
alex	670	1378.798
alex	671	1547.188
alex	672	1752.211
alex	673	1927.887
alex	674	2114.859
alex	675	2308.658
alex	676	2487.67
alex	677	2654.991
alex	678	2824.967
alex	679	2950.237
alex	680	3036.307
alex	681	3127.444
alex	682	3170.358
alex	683	3182.159
alex	684	3191.066
alex	685	3135.899
alex	686	3085.929
alex	687	2951.272
alex	688	2800.911
alex	689	2677.591
alex	690	2520.211
alex	691	2321.319
alex	692	2153.275
alex	693	1979.909
alex	694	1821.716
alex	695	1673.658
alex	696	1544.399
alex	697	1405.863
alex	698	1323.211
alex	699	1206.394
alex	700	1110.073
alex	701	1034.632
alex	702	975.267
alex	703	916.985
alex	704	863.44
alex	705	821.037
alex	706	804.291
alex	707	751.388
alex	708	736.129
alex	709	697.513
alex	710	671.013
alex	711	667.053
alex	712	647.918
alex	713	641.871
alex	714	615.905
alex	715	615.468
alex	716	601.794
alex	717	616.051
alex	718	608.407
alex	719	594.961
alex	720	598.871
alex	721	606.551
alex	722	600.643
alex	723	598.258
alex	724	611.888
alex	725	604.594
alex	726	613.297
alex	727	598.185
alex	728	609.563
alex	729	613.855
alex	730	637.213
alex	731	643.957
alex	732	636.707
alex	733	651.8
alex	734	633.102
alex	735	636.848
alex	736	659.139
alex	737	763.148
alex	738	742.317
alex	739	720.238
alex	740	732.776
alex	741	717.963
alex	742	709.769
alex	743	708.477
alex	744	693.55
alex	745	682.225
alex	746	659.64
alex	747	680.765
alex	748	619.08
alex	749	609.072
alex	750	606.119
